crunch_id,milestone_num,competitor_num,office_num,product_num,service_num,founding_round_num,total_money_raised,acquisition_num,investment_num,vc_num,success
affinityclick,2,0,1,1,0,2,0.11,0,0,0,0
affirmed-networks,0,0,1,0,0,4,6.6,0,0,7,0
africainteractive,0,0,1,1,0,1,0.0,0,0,0,0
afterworkdeals,0,2,1,1,0,0,0.0,0,0,0,0
agdna-i-incorrectly-submitted-earlier,0,0,0,0,0,0,0.0,0,0,0,0
agentarts,0,0,1,0,0,0,0.0,0,0,0,1
agentek,0,0,1,0,0,1,0.8,0,0,1,0
agharta-studio,0,0,1,0,0,0,0.0,0,0,0,0
agile-fusion,0,0,1,0,0,0,0.0,0,0,0,0
agilemesh,0,0,1,0,0,1,0.2,0,0,1,0
agilesource,0,0,1,0,0,1,0.0075,0,0,1,0
agilis-systems,1,0,1,2,0,1,0.5,0,0,2,0
agilys,0,0,0,0,0,1,0.055,0,0,1,0
agreeya-mobility,0,0,5,1,0,1,0.0,0,0,2,0
agregator-ltd,0,8,1,0,0,0,0.0,0,0,0,0
aha-mobile,0,0,1,0,0,1,0.3,0,0,1,1
ahg-2,0,0,1,0,0,0,0.0,0,0,0,0
ahoyz-mobile-marketing,0,0,0,0,0,0,0.0,0,0,0,0
aicent,1,0,2,0,1,3,1.73,0,0,3,0
aidmas-corporation,0,0,1,0,0,0,0.0,0,0,0,0
aim-mobile,0,0,1,0,2,0,0.0,0,0,0,0
air2web,0,0,1,0,0,1,2.5,0,0,4,1
airband-communications-holdings,0,0,2,0,0,4,2.8,0,0,6,0
airborne-mobile,2,0,1,1,0,3,0.5,0,0,3,1
aircast-mobile,3,0,1,0,0,1,0.015,0,0,0,0
airclic,0,0,1,0,0,2,2.75,0,0,7,0
airdefense,0,0,1,0,0,0,0.0,0,0,0,1
aireal-mobile,0,0,1,0,0,0,0.0,0,0,0,0
airfile,1,0,1,0,0,0,0.0,0,0,0,0
airhop-communications,0,0,1,0,1,0,0.0,0,0,0,0
airmatch,0,0,1,0,0,0,0.0,0,0,0,0
airme,0,0,1,1,0,0,0.0,0,0,0,0
airnfc,0,2,1,0,0,0,0.0,0,0,0,0
aironet-wireless-communications,0,0,1,0,0,0,0.0,0,0,0,1
airpatrol-corporation,2,0,2,7,0,0,0.0,0,0,0,0
airpay,0,0,0,0,0,0,0.0,0,0,0,0
airplux-tenologies-limited,0,0,1,0,0,0,0.0,0,0,0,0
airrun,1,0,1,0,0,0,0.0,0,0,0,0
airsense-wireless,4,0,1,0,1,1,0.16,0,0,2,0
airside-mobile,2,0,2,0,0,2,0.0,0,0,0,0
airtag,0,0,2,0,0,0,0.0,0,0,0,0
airwatch,0,0,1,0,0,1,20.0,0,0,1,0
aisle411,0,0,1,0,1,2,0.235,0,0,1,0
aislebuyer,0,0,1,0,0,2,1.15,0,0,2,1
akaaki,0,16,1,1,0,1,0.0,0,0,2,0
akibot,0,0,1,0,0,0,0.0,0,0,0,0
akumiitti,0,0,0,0,0,0,0.0,0,0,0,0
alatte,0,0,1,0,0,0,0.0,0,0,0,0
alert-us,0,0,1,0,0,0,0.0,0,0,0,0
alex-heiphetz-group,0,0,1,0,0,0,0.0,0,0,0,0
alex-henry,0,0,0,0,0,0,0.0,0,0,0,0
alfrednfc-com,0,0,1,0,0,0,0.0,0,0,0,0
alife-studios-inc,0,0,1,0,0,1,0.0,0,0,0,0
alireta,0,0,1,0,0,0,0.0,0,0,0,0
alkali-media,0,0,1,1,0,0,0.0,0,0,0,0
alkeo,0,0,0,0,0,0,0.0,0,0,0,0
all-access-telecom,0,0,0,0,0,1,0.025,0,0,0,0
all-over-geo,0,0,0,0,0,0,0.0,0,0,0,0
allfocus,0,6,0,0,0,0,0.0,0,0,0,0
allmusic-fm,0,0,1,0,0,0,0.0,0,0,0,0
allocab,0,0,1,0,0,1,0.006,0,0,0,0
allot-communications,1,5,1,0,0,0,0.0,1,0,0,1
allstarweek,0,0,0,0,0,0,0.0,0,0,0,0
alminder,0,2,1,0,0,0,0.0,0,0,0,0
alohar-mobile-2,0,0,1,0,1,1,0.075,0,0,0,0
alohar-mobile,0,0,1,0,1,1,0.2,0,0,0,0
aloqa,0,1,2,0,0,1,0.15,0,0,1,1
alquemie-studios,0,0,1,0,0,0,0.0,0,0,0,0
alshain,0,3,1,0,0,0,0.0,0,0,0,0
altaine,0,0,3,0,0,0,0.0,0,0,0,0
altergeo,3,4,1,3,0,2,1.1,0,0,4,0
altierre,0,0,1,1,0,4,6.0,0,0,14,0
altiria,0,0,1,0,0,0,0.0,0,0,0,0
alvarion,1,0,1,0,0,0,0.0,0,0,0,1
alwaysonpc,0,0,0,0,0,0,0.0,0,0,0,0
amantel,1,1,1,2,4,0,0.0,0,0,0,0
amaysim,0,0,0,0,0,0,0.0,0,0,0,0
amaze,0,0,1,0,0,0,0.0,0,0,0,0
amazing-applications,0,0,0,0,0,0,0.0,0,0,0,0
