crunch_id,milestone_num,competitor_num,office_num,product_num,service_num,founding_round_num,total_money_raised,acquisition_num,investment_num,vc_num,num_exited_competitor,company_count,exited_company_count
1tinystep-com,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1travel-gr,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1up-media-toronto-online-advertising-agency,0,0,1,0,0,0,0.0,0,0,0,0,0,0
1world-online,1,0,1,0,0,1,0.1,0,0,0,0,0,0
2-levels-above,0,0,1,0,0,0,0.0,0,0,0,0,0,0
2-ngage-u,0,0,1,0,1,0,0.0,0,0,0,0,5,0
2-under-entertainment,0,0,1,0,0,0,0.0,0,0,0,0,2,0
2-wheel-tours,0,0,0,0,0,0,0.0,0,0,0,0,0,0
20-questions,0,5,2,0,0,0,0.0,0,0,0,3,0,0
20-something-bloggers,0,1,0,0,0,0,0.0,0,0,0,0,1,0
2020-ventures-llc,0,0,2,0,0,0,0.0,0,0,0,0,2,0
2020-ventures,0,0,1,0,0,0,0.0,0,0,0,0,0,0
2020b-llc,0,0,0,0,0,0,0.0,0,0,0,0,3,0
20ave-store,0,1,1,0,0,0,0.0,0,0,0,0,0,0
20blinks,0,0,0,0,0,0,0.0,0,0,0,0,0,0
20dc,0,0,1,0,0,0,0.0,0,0,0,0,0,0
20jeans,0,0,0,0,0,1,0.1,0,0,3,0,0,0
20x200,0,0,1,0,0,2,0.28,0,0,17,0,4,0
210-tv,0,4,1,0,0,0,0.0,0,0,0,2,1,0
21212,0,0,2,0,0,0,0.0,0,0,0,0,7,0
21brains,0,0,1,0,0,0,0.0,0,0,0,0,0,0
21diamonds-india,0,0,1,0,0,0,0.0,0,0,0,0,0,0
21ev,0,0,0,0,0,0,0.0,0,0,0,0,0,0
21fifty,0,0,1,0,0,0,0.0,0,0,0,0,0,0
22seeds,0,0,0,1,0,0,0.0,0,0,0,0,0,0
22tracks,0,0,1,0,0,0,0.0,0,0,0,0,2,0
23-snaps-ltd,1,0,1,0,0,0,0.0,0,0,0,0,2,0
2359-media,0,0,1,0,0,1,0.0615,0,0,1,0,0,0
23press,0,2,1,3,0,1,0.005,0,0,3,0,0,0
24-rapid-response-service,0,0,0,0,0,0,0.0,0,0,0,0,0,0
24-seven-insurance,0,0,1,0,1,0,0.0,0,0,0,0,1,0
247-fixers,0,0,1,0,0,0,0.0,0,0,0,0,0,0
247transfer-com,0,0,1,0,0,0,0.0,0,0,0,0,0,0
24daydeals,0,0,0,0,0,0,0.0,0,0,0,0,1,0
24option,0,0,0,0,0,0,0.0,0,0,0,0,0,0
24symbols,1,0,1,0,0,1,0.0,0,0,1,0,2,0
24update,0,0,0,0,0,0,0.0,0,0,0,0,0,0
250ok,0,0,1,2,1,1,0.02,0,0,0,0,1,0
25trends,0,0,0,0,0,0,0.0,0,0,0,0,1,0
27-bards,0,0,0,0,0,0,0.0,0,0,0,0,1,0
27-perry,0,0,1,0,0,1,0.0118,0,0,1,0,2,0
280daily,0,0,0,0,0,0,0.0,0,0,0,0,1,0
285-digital-media,0,0,1,0,0,0,0.0,0,0,0,0,0,0
28msec,0,0,2,1,0,0,0.0,0,0,0,0,0,0
28wins,0,2,1,0,0,0,0.0,0,0,0,2,5,0
29-prime,0,0,1,0,0,0,0.0,0,0,0,0,4,0
2bedone,0,2,1,0,0,0,0.0,0,0,0,0,0,0
2big2send,0,4,1,2,0,0,0.0,0,0,0,1,1,0
2bkco,0,0,1,0,0,1,0.2,0,0,6,0,3,2
2can,0,5,1,0,0,1,0.2,0,0,2,0,0,0
2clams-studios,0,0,1,0,0,0,0.0,0,0,0,0,0,0
2code-online,0,0,0,0,0,1,0.0,0,0,0,0,0,0
2crisk,0,2,3,0,1,1,0.023,0,0,0,0,0,0
2dailydeals,0,3,0,0,0,0,0.0,0,0,0,1,0,0
2degrees-social,2,0,2,0,0,0,0.0,0,0,0,0,3,0
2degreesmobile,0,2,1,0,0,0,0.0,0,0,0,0,0,0
2face,0,0,1,0,0,0,0.0,0,0,0,0,2,0
2fold20-play-ltd,0,0,1,0,0,0,0.0,0,0,0,0,0,0
2go-software-solutions,0,0,1,0,0,1,0.0825,0,0,0,0,3,0
2hat-media,0,0,0,0,0,0,0.0,0,0,0,0,0,0
2houses,0,0,1,0,1,1,0.0675,0,0,1,0,1,0
2muse,0,0,1,0,0,0,0.0,0,0,0,0,0,0
2nd-md,0,0,0,0,0,0,0.0,0,0,0,0,0,0
2nine-ventures,0,0,0,0,0,0,0.0,0,0,0,0,0,0
2nova-interactive,0,0,0,0,0,0,0.0,0,0,0,0,0,0
2of7-design,0,0,1,0,0,0,0.0,0,0,0,0,2,0
2paperdolls,0,0,1,1,0,0,0.0,0,0,0,0,4,0
2pay,0,3,1,1,0,0,0.0,0,0,0,0,0,0
2pears,0,0,0,0,0,0,0.0,0,0,0,0,0,0
2pensmedia,0,0,1,0,0,0,0.0,0,0,0,0,0,0
2pg,0,0,0,0,0,0,0.0,0,0,0,0,3,0
2playergames-co,0,1,0,0,0,0,0.0,0,0,0,0,0,0
2redbeans,0,0,1,0,0,0,0.0,0,0,0,0,2,0
2vancouver,0,0,1,1,0,1,0.008,0,0,1,0,0,0
3-birds-marketing,0,0,0,0,0,0,0.0,0,0,0,0,0,0
3-other-things,0,0,0,0,0,0,0.0,0,0,0,0,0,0
3-rings,0,0,1,0,0,0,0.0,0,0,0,0,0,0
3-slips,0,0,1,0,0,0,0.0,0,0,0,0,3,0
3-unlem-tasarim,0,0,0,0,0,0,0.0,0,0,0,0,0,0
30-digits-gmbh,0,0,1,0,0,0,0.0,0,0,0,0,0,0
310-labs,0,0,0,0,0,0,0.0,0,0,0,0,0,0
31hex,0,0,0,0,0,0,0.0,0,0,0,0,0,0
31projects,0,0,0,0,0,0,0.0,0,0,0,0,1,0
321answers,0,4,0,0,0,0,0.0,0,0,0,2,0,0
321sortez,0,0,0,0,0,0,0.0,0,0,0,0,0,0
3220-publishing,0,0,1,0,0,0,0.0,0,0,0,0,1,0
33across,0,0,1,0,0,4,2.41,1,0,15,0,2,0
33needs,1,0,0,0,1,0,0.0,0,0,0,0,1,0
33voices,0,0,1,0,0,0,0.0,0,0,0,0,0,0
347design-2,0,0,1,0,0,0,0.0,0,0,0,0,0,0
360-degree-technosoft,0,0,1,0,0,0,0.0,0,0,0,0,0,0
360-revelations,3,0,1,0,0,0,0.0,0,0,0,0,2,0
